"﻿head","tail","relation","weight"
"Attribute:CloseDate","BaseMeasure:Cross-Field Validation","HAS_BASEMEASURE",""
"BaseMeasure:Cross-Field Validation","QualityDimension:Traceability","CALCULATES","0.9"
"Attribute:CloseDate","BaseMeasure:Range Check","HAS_BASEMEASURE",""
"BaseMeasure:Range Check","QualityDimension:Traceability","CALCULATES","0.49"
"Attribute:Amount","BaseMeasure:Data Inconsistency","HAS_BASEMEASURE",""
"BaseMeasure:Data Inconsistency","QualityDimension:Traceability","CALCULATES","0.83"
"BaseMeasure:Data Inconsistency","QualityDimension:Understandability","CALCULATES","0.89"
"QualityDimension:Understandability","DataContext:CRM","RELATED_TO","0.608"
"BaseMeasure:Null Count","QualityDimension:Understandability","CALCULATES","0.65"
"Attribute:BillingPostalCode","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"BaseMeasure:Missing Values","QualityDimension:Understandability","CALCULATES","0.32"
"Attribute:Fax","BaseMeasure:Data Inconsistency","HAS_BASEMEASURE",""
"BaseMeasure:Data Inconsistency","QualityDimension:Understandability","CALCULATES","0.2"
"BaseMeasure:Format Validity","QualityDimension:Understandability","CALCULATES","0.5"
"BaseMeasure:Duplication Check","QualityDimension:Usability","CALCULATES","0.7"
"QualityDimension:Usability","DataContext:CRM","RELATED_TO","0.515"
"Attribute:CloseDate","BaseMeasure:Data Entry Error","HAS_BASEMEASURE",""
"BaseMeasure:Data Entry Error","QualityDimension:Usability","CALCULATES","0.18"
"Attribute:Address","BaseMeasure:Format Validity","HAS_BASEMEASURE",""
"BaseMeasure:Format Validity","QualityDimension:Usability","CALCULATES","0.7"
"BaseMeasure:Missing Values","QualityDimension:Usability","CALCULATES","0.86"
"Attribute:ShippingCountry","BaseMeasure:Data Entry Error","HAS_BASEMEASURE",""
"BaseMeasure:Data Entry Error","QualityDimension:Usability","CALCULATES","0.65"
"Attribute:ShippingCountry","BaseMeasure:Data Inconsistency","HAS_BASEMEASURE",""
"BaseMeasure:Data Inconsistency","QualityDimension:Usability","CALCULATES","0.46"
"Attribute:Patient ID","BaseMeasure:Outliers Detection","HAS_BASEMEASURE",""
"BaseMeasure:Outliers Detection","QualityDimension:Accessibility","CALCULATES","0.29"
"QualityDimension:Accessibility","DataContext:Discharge Summaries","RELATED_TO","0.651429"
"Attribute:Patient ID","BaseMeasure:Cross-Field Validation","HAS_BASEMEASURE",""
"BaseMeasure:Cross-Field Validation","QualityDimension:Accessibility","CALCULATES","0.94"
"Attribute:Patient name","BaseMeasure:Duplication Check","HAS_BASEMEASURE",""
"BaseMeasure:Duplication Check","QualityDimension:Accessibility","CALCULATES","0.94"
"Attribute:Discharge date","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"BaseMeasure:Missing Values","QualityDimension:Accessibility","CALCULATES","0.25"
"Attribute:Discharge diagnoses","BaseMeasure:Cross-Field Validation","HAS_BASEMEASURE",""
"BaseMeasure:Cross-Field Validation","QualityDimension:Accessibility","CALCULATES","0.8"
"Attribute:Discharge provider name","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"BaseMeasure:Data Comparison","QualityDimension:Accessibility","CALCULATES","0.15"
